2024 Kickstart u33,178519,,2024-08-16 07:34:20 UTC,1,Datalogi,1,Mand,0,30-39,0,STX,1,Nej,0,"Meget afslappet. Hyggeligt generelt. En lille smule indforstået. Jeg oplevede de første to dage, at faglingo/termer blev brugt uden så meget forklaring. Det kunne godt gøre mig lidt usikker. Det blev noget lettere fra onsdag og frem. Opgaverne i worksheetsne var fine men også en smule rodede, så jeg endte med at få mere ud af at gå på happycoding.org.
Derudover en rigtig god uge, dejljgt at lære folk at kende, søde og dygtige TAs! 
Daniel var rigtig god til at forklare de blødere dele af KU, hvordan man klarer sig, spørg, tag fat, melde sig til udvalg osv.",0,"TAs 

Den afslappede stemning

niveauet

 ",0,"Lidt mindre indforstået ift. at antage, at man kender programmeringslingo.

Worksheets kunne ligeså være lidt grundigere/præcise

 

Nævn kaffemulighed i kantinen fra dag 1 😉",0,"Okay, lidt svære",0,Det fungerede fint for mig. Intimiderende selvfølgelig men har ikke for alvor forslag til forbedring. Eller.. måske kunne man overveje at gøre parringen helt tilfældig?,0,Nej det var fint,0,"Ja jeg vil anbefale det! 
der er meget at lære, så det er dejligt at komme blødt igang og møde folk i mindre grupper!",0,Nej,0,10,3,2
2024 Kickstart u33,178519,,2024-08-16 07:30:36 UTC,1,Machine learning og datavidenskab,0,Mand,0,21-23,0,STX,1,Nej,0,"Sjovt, socialt og interessant. Dog kunne timerne efter frokost godt blive tunge, da vi havde siddet og programmeret indtil da. ",0,"Masser af øvelsestimer, spændende med et research oplæg (MCP), super gode TA’s",0,"Måske have en social aktivitet f.eks. Rundbold sidste dag i ugen eller lignende, eller andet så vi afslutter med energi inden dagen er ovre ",0,Meget fint. ,0,"Det var generelt super godt. Måske kunne det fungere at programmere på en platform, hvor begge computere kunne arbejde på samme script ",0,"Nogle af svarene var givet i form af et billede af koden, hvorfor os uden erfaring kunne følge med, hvorefter nogle af tingene ikke var givet. Det var lidt frustrerende, men det tror jeg er en del af udvikler opgaven, så det er faktisk også super. ",0,Mød dine nye studerende i mindre grupper og opnå de sociale samtidig med at få en forståelse af programmering ,0,Z,0,9,4,1
2024 Kickstart u33,178519,,2024-08-16 07:30:04 UTC,1,Kognition og Data Science,0,Kvinde,1,24-29,0,HHX,0,Ja,1,"Mine forventinger til kurset, var at blive kendt med bestemt sprog i forhold til kodning og efterfølgende få det lidt i hænderne. Her har kurset levet op til forventningerne. Jeg syntes derudover at det har været godt, at der er blevet lagt fokus på, frivillighed og vigtigheden i socialisering. 

Det eneste jeg kunne have manglet er måske mere viden om de andre sprog. En enkelt time, der forklarede forskelle og ligheder, og i hvilke sammenhænge man bruge de andre sprog.",0,"Fokus på frivillighed

Fokus på, at vi skal være sociale

Eksempel på hvordan man kan arbejde med programmering (foredraget)

 ",0,"Mere oplysning vedr. andre sprog indenfor programmering. 

Jeg kunne godt have ønsket lidt mere foredrag

Måske en enkelt spørgetime mere",0,Meget passende. ,0,"Jeg synes pair programming, fungerede nogenlunde. Hvis det skulle have fungerede endnu bedre, skulle der måske have været en større fokus på, regler og beslutningen om, at det er det vi gør. 

Dog vil jeg dog sige at friheden, om vi ville eller ej, var vigtigtere. ",0,Det gjorde vi ikke rigtig,0,Bestemt. ,0,Jeg er godt tilfreds,0,10,3,2
2024 Kickstart u33,178519,,2024-08-16 07:27:29 UTC,1,Kognition og Data Science,0,Mand,0,21-23,0,STX,1,Nej,0,"Det er et kursus, hvor der er stort fokus på try and error, og så er alle TA's (hjælpere) rigtig gode til at snakke med dig og hjælpe i den rigtige retning. Der er også meget fokus på at snakke og møde nye mennesker og starte sit studieliv på KU i en tryg ramme.",0,"De korte forelæsninger, der gør at man arbejder meget med det selv.

En teambuilding øvelse (skumfidus/pasta tårn) den første dag som icebreaker

At man arbejder på et projekt hen mod sidstedagen",0,"Programmet kunne måske være et andet, som man ville komme til at bruge senere i uddannelserne.

Flere små indlagte pauser i stedet for en stor til frokost

Måske ændre lidt i holdene mellem dag 1 og 2",0,"Jeg syntes der var en fin fremgang i sværhedsgrad, hvor det første ikke krævede det store, men sikrede at man fik succesoplevelser, mens man i de senere med lister, loops og FSM skulle koncentrere sig lidt mere.",0,"Jeg var i et par hvor mit niveau var lidt højere og derfor endte det med mest at være mig der snakkede fordi vi havde en fornemmelse af at det vi arbejdede på skulle bruges. Så det kunne være en ide at det blev tydeliggjort at det ikke var det endelige projekt eller par man sad sammen med.

Det virkede dog i mit sidste projekt hvor vi lavede det på en computer.",0,Jeg synes der var en rigtig god stemning i arbejdsrummene der gjorde det nemt at give og modtage feedback.,0,"Jeg vil anbefale det med argumenterne:

* God måde at komme ind i programmering på en sjov måde

* Man møder nye mennesker der er på samme niveau og alt er lige så ukendt for dem

* Man har man muligheder for at spørge TA's om hvordan uddannelsen og studielivet fungerer",0,,0,9,4,1
2024 Kickstart u33,178519,,2024-08-16 07:26:45 UTC,1,Machine learning og datavidenskab,0,Kvinde,1,21-23,0,STX,1,Nej,0,"Kurset var godt, man fik prøvet programmering af, med at få fingrene på det istedet for kun teoretisk. ",0,"* Have opgaver, hvor man kan springe rundt.

* Den gode hjælp

* De små ""forlæsninger"" i starten, hvor man får en lille intro.",0,"* Lidt mere teori i selve opgaverne, for at få en forståelse løbende.

* Generelt mere dybdegående teori

* Flere planlagte pauser",0,"Det var meget fint, og følte sværheden steg henover opgaverne.",0,"Det var glidende, men vi ville begge gerne have hænderne på computeren for at øve.",0,Det var meget godt! Ikke så meget her.,0,"Jeg ville klart anbefale det, også ift. at møde andre og få et indblik. ",0,"nope, alt var godt.",0,10,3,2
2024 Kickstart u33,178519,,2024-08-16 07:24:12 UTC,1,Datalogi-økonomi,0,Mand,0,21-23,0,STX,1,Nej,0,Kursen giver en forståelse og introduktion til programmering på en sjov og underholdende måde hvor man selv får lov til at sidde med tasterne og lære ved at lave det selv.,0,"Mængden af klassearbejde sammenlignet med præsentationer i auditoriet(det var rigtig dejligt at få lov til at arbejde så meget med det selv eller i par)

Mængden af TA's. Man skulle aldrig vente særlig længe for at få hjælp til de problemer man nu engang havde.

Antallet af dage og længde af dagene. Man blev ikke udkørt af længden af dagene.

 ",0,"En fungerende højtaler i auditoriet

En ikke forkortet dag til allersidst

Måske en intro til campus så man et overblik hvor tingene er",0,Passende. Man blev udfordret men fedt derfor også meget ud af det,0,"Ja, det gjorde det.

Man kunne arbejde meget hurtigere og det gav et andet overblik og indblik",0,Det fungerede godt,0,Ja!,0,Nej,0,9,4,1
2024 Kickstart u33,178519,,2024-08-16 07:24:02 UTC,1,Datalogi-økonomi,0,Mand,0,18-20,0,STX,1,Nej,0,"kurset var lærerigt og sjovt. Havde en god sammenhæng imellem at ""get their hands dirty"" og ren læring. 

 ",0,"1) lave spil som produkt

2) forlæsninger i starten 

3) have hjælpere som er mere relaterbare end en underviser ",0,"1) måske en lille gennemgang af kodningerne vi vil arbejde med til for læsningerne 

2) no flaws in the worksheet 

3) shorter lunch break ",0,"det var godt, det sværeste var når man gerne vil bruge koden i et andet vindue for at vise at man kan genskabe det i andre rammer eks. at få bilen til at køre. 

 ",0,"det var lidt 50/50

 ",0,"ikke rigtigt så godt, blev ikke implementeret dagen efter alligevel",0,ja! ,0,,0,9,4,1
2024 Kickstart u33,178519,,2024-08-16 07:24:00 UTC,1,Datalogi-økonomi,0,Mand,0,21-23,0,STX,1,Ja,1,"Enormt gennemført kursus, med en dygtig underviser og ligeledes dygtige TA'er. De første par dage bruger man tid på at lære det helt basale og få en en lille smule styr på det, hvorefter man langsomt bygger på og til sidst kan stå med et simpelt spil. Meget tid og plads til forståelsesspørgsmål og at lege med værktøjerne. Lærte mere på første dag end en måneds selvstudie i python forud for.",0,"1. Ugens gang - rækkefølgen og tempoet er godt.

2. At man selv kan fokusere på de elementer man finder interessante eller udfordrende i stedet for at man SKAL følge programmet fast.

3. Blanding af hold på tværs af studieretninger ",0,"1. Opgavesættene havde nogle fejl (dog ikke noget, der skabte problemer). 

2. Mere ensretning blandt TA og underviser i forhold til tidsplan m.m.

3. pas",0,"Passende, dog kunne jeg personligt godt se dem en tand mere udfordrende mod onsdagen.",0,"Ja, god øvelse, der skaber et fundament for god kommunikation under programmering.",0,Fik ikke brugt dem desværre.,0,Helt klart!,0,"Intet yderligere.

Tak for et godt kursus, virkelig fedt! :)",0,10,3,2
2024 Kickstart u33,178519,,2024-08-16 07:23:35 UTC,1,Datalogi,1,Kvinde,1,21-23,0,STX,1,Nej,0,"Jeg syntes det var lærerigt, lidt svært, men skønt man kunne få lov til selv at arbejde med det man havde interrese i. Det var ikke så krevende, og man kunne bruge den tid man ville til hvis nu der var noget du syntes var mere kompleks, der var ingen tidspres, på nær spillet der skulle være done til fredag, men selv der var det okay at vise et ufærdigt dokument. Meget godt hvis du gerne vil prøve dig frem og tage det stille og roligt.",0,"Det frie rum man har til at arbejde på hvad man vil.

Pair programming, så man kan arbejde sammen og hjælpe hinanden med at forstå tingene bedre.

 ",0,"Lidt flere tildedlte pauser. (De er frie, men mange af os forstod det som et bestemt tidsrum)

Måske lidt flere aktiviteter så man har mulighed for at snakke med andre, også på tværs af klasserne.

Mulighed for at snakke om ideer i fællesrum eller til slut på dagen hører hvordan andre er kommet frem til deres opgave/spil.",0,"Lidt sværere, men jeg går også i dybden med hver ting frem for at gå videre. Dette får mig til at føle mig baggud, selv hvis ikke dette er tilfældet.",0,"Min makker og mig passede godt sammen, vi havde nogenlunde samme ideer og hvad der skulle komme ud af det færdige, samtiddigt med vi snakkede om det hen af vejen.",0,godt,0,ja,0,,0,11,2,3
2024 Kickstart u33,178519,,2024-08-16 07:23:03 UTC,1,Kognition og Data Science,0,Kvinde,1,24-29,0,STX,1,Ja,1,"Kurset har været god til at afprøve hvordan det er at programmere. TAs har været meget gode til forklare fejl og troubleshooting. Generelt ved at jeg at kurset er med fokus på at bare prøve sig frem, men jeg tror en smule viden om hvordan man bygger gode programmerings vaner ville hjælpe. Foredraget af den eksterne synes jeg var super spændende og tanke vækkende.",0,"Hjælp fra TAs, foredrage, og pair programming.",0,"Mere arbejde på struktur, gode kode vaner, og praktisk sendt ud information tidligere.",0,"Generelt ret passende til mit niveau. Nogle af opgaverne havde jeg ingen ide hvor jeg skulle starte, men normalt har det været got niveau.",0,"Ja, pair programming fungerede godt.",0,"Yes, måske kunne man gøre det lidt mere? Og få set andre menneskers code, ikke kun 1.",0,"Ja, helt klart.",0,,0,11,2,3
